[00:00:37.539] 955049 10.83 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.1 ms)
[00:00:37.539] 955049 10.84 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:37.539] 955049 10.84 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:37.829] 955090 16.44 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:38.084] 955126 14.43 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:38.404] 955171 14.40 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:38.542] 955191 7.06 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 2 frames dropped. Process: 0.4/0.689/3.4 ms, Frame: 0.9/7.065/16.5 ms, FPS: 141.553 (initial: 144.000). Nodes:
[00:00:38.542] 955191 7.09 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:38.542] 955191 7.09 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:38.542] 955191 7.10 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:38.565] 955193 16.58 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:38.612] 955199 15.03 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:38.802] 955225 16.62 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:39.027] 955256 18.65 Root/Context1 (Canvas.cpp,296) | Frames missed due to LAG: 2
[00:00:39.027] 955256 18.68 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:39.203] 955281 14.92 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:39.301] 955294 16.20 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:39.549] 955330 7.13 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 5 frames dropped. Process: 0.3/0.681/3.6 ms, Frame: 1.1/7.245/18.7 ms, FPS: 138.029 (initial: 144.000). Nodes:
[00:00:39.549] 955330 7.18 Root/Context1 (FrameProfiler.cpp,142) | ProcessEvents (0.2 ms)
[00:00:39.549] 955330 7.19 Root/Context1 (FrameProfiler.cpp,142) | Root/Context1 (0.1 ms)
[00:00:39.549] 955330 7.20 Root/Context1 (FrameProfiler.cpp,142) | Root/SplitTitleAuthor (0.1 ms)
[00:00:40.101] 955408 17.42 Root/Context1 (Canvas.cpp,296) | Frames missed due to LAG: 2
[00:00:40.101] 955408 17.44 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:40.210] 955423 15.31 Root/Context1 (Canvas.cpp,330) | 1 frames dropped!
[00:00:40.557] 955473 8.12 Root/Context1 (FrameProfiler.cpp,140) | WARNING: 2 frames dropped. Process: 0.4/0.672/3.3 ms, Frame: 1.1/7.049/17.4 ms, FPS: 141.859 (initial: 144.000). Nodes:
